date,nav_theo_usd_bt,nav_theo_usd_live,nav_ucits_eur_bt,nav_ucits_eur_live,bench_6040_usd,bench_allw_usd,bench_rpar_usd,bench_6040_eur,bench_allw_eur,bench_rpar_eur
2007-01-09,106.4587,,99.555316,,109.419421,,,102.324047,,
2007-01-10,105.873,,99.489735,,109.591058,,,102.983625,,
2007-01-11,105.7595,,99.729976,,109.796548,,,103.536865,,
2007-01-12,107.1328,,100.837262,,110.235792,,,103.75791,,
2007-01-16,106.7724,,100.482481,,110.168448,,,103.67847,,
2007-01-17,107.2598,,100.792922,,110.16261,,,103.520717,,
2007-01-18,106.9021,,100.255303,,110.009143,,,103.169161,,
2007-01-19,107.8677,,101.176475,,110.110784,,,103.280417,,
2007-01-22,107.5375,,100.952436,,109.929927,,,103.198363,,
2007-01-23,108.7262,,101.472834,,110.04818,,,102.706622,,
2007-01-24,109.1204,,102.288333,,110.560957,,,103.638696,,
2007-01-25,107.9419,,101.480962,,109.726614,,,103.158851,,
2007-01-26,107.997,,101.666421,,109.658997,,,103.230995,,
2007-01-29,107.6423,,101.004022,,109.562881,,,102.806161,,
2007-01-30,108.5066,,101.712963,,109.979533,,,103.093675,,
2007-01-31,109.3522,,102.010085,,110.454582,,,103.038451,,
2007-02-01,109.766,,102.482604,,110.874442,,,103.517497,,
2007-02-02,109.6193,,102.787699,,111.023468,,,104.104357,,
2007-02-05,109.6419,,103.103127,,111.116404,,,104.489695,,
2007-02-06,109.9069,,102.906568,,111.225545,,,104.141224,,
2007-02-07,109.8351,,102.633823,,111.419147,,,104.114013,,
2007-02-08,110.4301,,102.944519,,111.366063,,,103.817037,,
2007-02-09,110.1562,,102.965527,,110.766449,,,103.53594,,
2007-02-12,109.462,,102.640202,,110.48685,,,103.601182,,
2007-02-13,110.1213,,102.680272,,111.048535,,,103.544853,,
2007-02-14,110.8025,,102.591532,,111.653702,,,103.379656,,
2007-02-15,110.7397,,102.447558,,111.802731,,,103.430989,,
2007-02-16,110.7941,,102.513487,,111.802368,,,103.446398,,
2007-02-20,110.2256,,102.003002,,111.964965,,,103.612615,,
2007-02-21,111.2537,,102.946572,,111.938654,,,103.580382,,
2007-02-22,111.2389,,103.026979,,111.803149,,,103.549574,,
2007-02-23,111.5847,,103.041098,,111.645935,,,103.097645,,
2007-02-26,112.0175,,103.26819,,111.683903,,,102.960649,,
2007-02-27,108.9536,,100.026417,,109.241728,,,100.290937,,
2007-02-28,109.7066,,100.816693,,109.889918,,,100.985155,,
2007-03-01,109.2549,,100.729006,,109.68798,,,101.12829,,
2007-03-02,107.8304,,99.370453,,108.91912,,,100.373756,,
2007-03-05,106.97,,99.353278,,108.267763,,,100.558635,,
2007-03-06,108.3979,,100.395709,,109.34558,,,101.273428,,
2007-03-07,108.8391,,100.421811,,109.317889,,,100.863572,,
2007-03-08,109.3931,,101.263438,,109.836264,,,101.673667,,
2007-03-09,108.9311,,100.981865,,109.729509,,,101.72201,,
2007-03-12,109.0811,,100.545893,,109.95815,,,101.354318,,
2007-03-13,107.9979,,99.494644,,108.799162,,,100.232818,,
2007-03-14,108.5041,,99.764424,,109.230453,,,100.432272,,
2007-03-15,108.5588,,99.70161,,109.270692,,,100.35542,,
2007-03-16,108.4453,,99.028803,,109.097092,,,99.623998,,
2007-03-19,109.237,,99.834247,,109.852974,,,100.3972,,
2007-03-20,109.8111,,100.245889,,110.254182,,,100.650375,,
2007-03-21,111.0501,,100.861941,,111.407184,,,101.186265,,
2007-03-22,111.3131,,101.517955,,111.265789,,,101.474807,,
2007-03-23,111.1738,,101.719036,,111.301178,,,101.835581,,
2007-03-26,111.6182,,101.796207,,111.190823,,,101.406438,,
2007-03-27,111.5006,,101.529008,,111.039623,,,101.109257,,
2007-03-28,111.3227,,101.66399,,110.57885,,,100.984679,,
2007-03-29,111.3305,,101.533824,,110.613524,,,100.879939,,
2007-03-30,110.9655,,100.988814,,110.593515,,,100.650274,,
2007-04-02,111.348,,101.283849,,110.730738,,,100.722378,,
2007-04-03,111.8235,,101.983441,,111.394907,,,101.592563,,
2007-04-04,112.3185,,102.151344,,111.516124,,,101.4216,,
2007-04-05,112.5033,,101.847024,,111.661329,,,101.084804,,
2007-04-09,112.1585,,102.105129,,111.584357,,,101.58245,,
2007-04-10,112.9139,,102.142671,,111.728377,,,101.070239,,
2007-04-11,112.5591,,101.882365,,111.426794,,,100.857464,,
2007-04-12,113.0884,,101.981811,,111.780886,,,100.80271,,
2007-04-13,113.5135,,101.986902,,112.018362,,,100.643586,,
2007-04-16,114.3569,,102.721885,,112.746678,,,101.275493,,
2007-04-17,114.2922,,102.421603,,113.054617,,,101.312557,,
2007-04-18,114.525,,102.313466,,113.205301,,,101.134484,,
2007-04-19,114.0779,,101.884091,,113.169273,,,101.072587,,
2007-04-20,114.6998,,102.582703,,113.781897,,,101.761769,,
2007-04-23,114.688,,102.70059,,113.576011,,,101.704829,,
2007-04-24,114.7653,,102.29511,,113.626793,,,101.28031,,
2007-04-25,115.135,,102.639689,,114.272483,,,101.870779,,
2007-04-26,114.5574,,102.402612,,114.260342,,,102.137073,,
2007-04-27,114.659,,102.125483,,114.193379,,,101.710759,,
2007-04-30,114.7146,,102.189979,,113.782219,,,101.359396,,
2007-05-01,114.8157,,102.603329,,113.9347,,,101.816036,,
2007-05-02,115.0683,,102.919845,,114.342364,,,102.270551,,
2007-05-03,115.4031,,103.54688,,114.665428,,,102.884994,,
2007-05-04,115.8998,,103.633061,,114.992183,,,102.821505,,
2007-05-07,116.0934,,103.775639,,115.046561,,,102.839873,,
2007-05-08,115.8451,,103.997199,,114.905777,,,103.153944,,
2007-05-09,115.6376,,103.918353,,115.036797,,,103.378438,,
2007-05-10,114.9113,,103.602626,,114.397836,,,103.139693,,
2007-05-11,115.3639,,103.641746,,114.895518,,,103.220957,,
2007-05-14,115.1053,,103.310174,,114.747608,,,102.989136,,
2007-05-15,115.193,,103.046543,,114.75062,,,102.650809,,
2007-05-16,115.2409,,103.669142,,115.234303,,,103.663207,,
2007-05-17,114.9905,,103.597202,,115.014883,,,103.61917,,
2007-05-18,115.209,,103.663457,,115.479654,,,103.906988,,
2007-05-21,115.4805,,104.239498,,115.539274,,,104.292551,,
2007-05-22,114.9693,,103.932398,,115.389211,,,104.311998,,
2007-05-23,114.9118,,103.795517,,115.36874,,,104.208253,,
2007-05-24,114.2819,,103.46486,,114.758168,,,103.896048,,
2007-05-25,114.4953,,103.519296,,115.018863,,,103.992669,,
2007-05-29,114.5917,,103.591047,,115.229891,,,104.167972,,
2007-05-30,115.1371,,104.239113,,115.842703,,,104.877929,,
2007-05-31,115.1181,,104.035969,,115.664613,,,104.52987,,
2007-06-01,115.2995,,104.246402,,115.962355,,,104.845713,,
2007-06-04,115.7411,,104.312084,,116.027778,,,104.570454,,
2007-06-05,115.1784,,103.54396,,115.616369,,,103.937688,,
2007-06-06,114.6393,,103.211961,,114.886527,,,103.434545,,
2007-06-07,112.5911,,101.896157,,113.327416,,,102.56253,,
2007-06-08,112.8333,,102.611868,,114.160916,,,103.819217,,
2007-06-11,112.9192,,102.774555,,114.317132,,,104.046897,,
2007-06-12,111.6056,,102.006634,,113.291694,,,103.54771,,
2007-06-13,112.9519,,103.159584,,114.382502,,,104.466161,,
2007-06-14,113.1963,,103.382796,,114.904296,,,104.942719,,
2007-06-15,113.8125,,103.409537,,115.465009,,,104.910999,,
2007-06-18,113.7263,,103.069308,,115.415388,,,104.600116,,
2007-06-19,114.266,,103.45817,,115.732373,,,104.785846,,
2007-06-20,113.1915,,102.661155,,114.625146,,,103.961427,,
2007-06-21,113.2866,,102.862517,,114.955547,,,104.377896,,
