date,nav_theo_usd_bt,nav_theo_usd_live,nav_ucits_eur_bt,nav_ucits_eur_live,bench_6040_usd,bench_allw_usd,bench_rpar_usd,bench_6040_eur,bench_allw_eur,bench_rpar_eur
2019-05-31,,,376.903,,,,,268.947245,,
2019-06-03,,,378.0681,,,,,267.075143,,
2019-06-04,,,380.572,,,,,270.191589,,
2019-06-05,,,382.3784,,,,,272.275938,,
2019-06-06,,,384.3531,,,,,271.995509,,
2019-06-07,,,388.0935,,,,,272.579226,,
2019-06-10,,,387.8845,,,,,273.527259,,
2019-06-11,,,388.1268,,,,,273.126952,,
2019-06-12,,,388.0209,,,,,273.90965,,
2019-06-13,,,389.8029,,,,,275.082103,,
2019-06-14,,,389.3177,,,,,276.578209,,
2019-06-17,,,390.3095,,,,,276.33373,,
2019-06-18,,,394.2801,,,,,278.991342,,
2019-06-19,,,395.0566,,,,,278.918159,,
2019-06-20,,,399.4164,,,,,279.089638,,
2019-06-21,,,397.5797,,,,,276.661614,,
2019-06-24,,,398.9873,,,,,275.946035,,
2019-06-25,,,397.3151,,,,,275.116721,,
2019-06-26,,,396.4742,,,,,274.648562,,
2019-06-27,,,397.4897,,,,,275.535957,,
2019-06-28,,,399.5763,,,,,276.361726,,
2019-07-01,,,400.2879,,,,,279.980247,,
2019-07-02,,,402.8011,,,,,280.623091,,
2019-07-03,,,405.6198,,,,,282.333313,,
2019-07-05,,,402.776,,,,,283.001903,,
2019-07-08,,,401.503,,,,,282.263067,,
2019-07-09,,,402.0573,,,,,282.61161,,
2019-07-10,,,403.441,,,,,282.412248,,
2019-07-11,,,402.2708,,,,,282.319096,,
2019-07-12,,,403.7588,,,,,282.798718,,
2019-07-15,,,404.7519,,,,,283.322815,,
2019-07-16,,,403.2656,,,,,283.86512,,
2019-07-17,,,403.7629,,,,,282.623517,,
2019-07-18,,,404.9444,,,,,282.116566,,
2019-07-19,,,403.5626,,,,,282.458293,,
2019-07-22,,,404.5191,,,,,283.308324,,
2019-07-23,,,405.0371,,,,,285.867493,,
2019-07-24,,,406.7753,,,,,287.141403,,
2019-07-25,,,403.7372,,,,,285.968533,,
2019-07-26,,,405.4494,,,,,287.713368,,
2019-07-29,,,404.9761,,,,,286.929456,,
2019-07-30,,,404.2308,,,,,286.242465,,
2019-07-31,,,402.3825,,,,,286.460317,,
2019-08-01,,,403.4224,,,,,285.607526,,
2019-08-02,,,398.4329,,,,,283.810922,,
2019-08-05,,,389.6703,,,,,276.785165,,
2019-08-06,,,393.8238,,,,,279.511975,,
2019-08-07,,,395.307,,,,,279.540293,,
2019-08-08,,,402.6143,,,,,283.413139,,
2019-08-09,,,398.9318,,,,,281.654256,,
2019-08-12,,,398.1587,,,,,279.615621,,
2019-08-13,,,401.5561,,,,,283.142782,,
2019-08-14,,,394.9843,,,,,279.29301,,
2019-08-15,,,395.7959,,,,,281.037997,,
2019-08-16,,,398.94,,,,,283.885603,,
2019-08-19,,,401.6792,,,,,285.925524,,
2019-08-20,,,401.3098,,,,,284.376133,,
2019-08-21,,,404.2345,,,,,286.103593,,
2019-08-22,,,403.3859,,,,,285.870807,,
2019-08-23,,,397.7538,,,,,280.464009,,
2019-08-26,,,400.0605,,,,,283.212476,,
2019-08-27,,,401.5164,,,,,283.166131,,
2019-08-28,,,402.3247,,,,,284.700694,,
2019-08-29,,,405.4963,,,,,287.348642,,
2019-08-30,,,406.191,,,,,289.17678,,
2019-09-03,,,404.5653,,,,,288.527319,,
2019-09-04,,,407.8495,,,,,289.032009,,
2019-09-05,,,409.5295,,,,,290.799817,,
2019-09-06,,,410.217,,,,,291.303463,,
2019-09-09,,,407.8533,,,,,290.319151,,
2019-09-10,,,403.3548,,,,,289.755697,,
2019-09-11,,,405.711,,,,,291.881415,,
2019-09-12,,,406.7654,,,,,290.892206,,
2019-09-13,,,404.1122,,,,,289.855383,,
2019-09-16,,,405.3989,,,,,291.545442,,
2019-09-17,,,407.9745,,,,,290.25384,,
2019-09-18,,,407.7278,,,,,291.605312,,
2019-09-19,,,408.0405,,,,,291.462123,,
2019-09-20,,,407.9164,,,,,291.688219,,
2019-09-23,,,407.7974,,,,,292.344947,,
2019-09-24,,,407.3222,,,,,290.574173,,
2019-09-25,,,406.4004,,,,,293.178556,,
2019-09-26,,,406.829,,,,,293.619516,,
2019-09-27,,,404.5572,,,,,292.267692,,
2019-09-30,,,405.441,,,,,294.266506,,
2019-10-01,,,402.178,,,,,291.445981,,
2019-10-02,,,396.604,,,,,287.729209,,
2019-10-03,,,400.0216,,,,,289.45923,,
2019-10-04,,,404.2264,,,,,291.667411,,
2019-10-07,,,402.4099,,,,,290.75158,,
2019-10-08,,,398.0164,,,,,288.457254,,
2019-10-09,,,400.9362,,,,,289.641098,,
2019-10-10,,,401.9409,,,,,289.526488,,
2019-10-11,,,404.6045,,,,,290.15654,,
2019-10-14,,,405.3859,,,,,290.417122,,
2019-10-15,,,406.7356,,,,,291.567374,,
2019-10-16,,,404.6216,,,,,290.464979,,
2019-10-17,,,404.8081,,,,,289.57645,,
2019-10-18,,,402.4489,,,,,287.716132,,
2019-10-21,,,405.3721,,,,,289.10057,,
2019-10-22,,,404.0212,,,,,289.337514,,
2019-10-23,,,404.6376,,,,,289.787952,,
2019-10-24,,,407.0166,,,,,290.805721,,
2019-10-25,,,408.0223,,,,,292.009792,,
2019-10-28,,,408.3571,,,,,292.205119,,
2019-10-29,,,408.7729,,,,,291.837106,,
2019-10-30,,,410.1374,,,,,291.700899,,
2019-10-31,,,410.7171,,,,,291.664289,,
2019-11-01,,,415.1869,,,,,292.971943,,
2019-11-04,,,417.5805,,,,,294.354248,,
2019-11-05,,,415.2412,,,,,295.14048,,
2019-11-06,,,415.5614,,,,,295.574768,,
2019-11-07,,,415.8392,,,,,296.082128,,
2019-11-08,,,415.0089,,,,,297.314269,,
2019-11-11,,,414.2642,,,,,296.596398,,
2019-11-12,,,416.1705,,,,,297.746379,,
2019-11-13,,,417.8194,,,,,298.082103,,
2019-11-14,,,419.1646,,,,,298.277562,,
2019-11-15,,,421.4175,,,,,298.750291,,
2019-11-18,,,421.3157,,,,,298.490964,,
2019-11-19,,,422.0556,,,,,298.354928,,
2019-11-20,,,422.3998,,,,,298.139433,,
2019-11-21,,,421.3211,,,,,298.055001,,
2019-11-22,,,421.3736,,,,,299.60536,,
2019-11-25,,,424.3088,,,,,301.251775,,
2019-11-26,,,425.6898,,,,,301.640033,,
2019-11-27,,,426.4021,,,,,302.867557,,
2019-11-29,,,425.3953,,,,,301.602558,,
2019-12-02,,,420.5194,,,,,298.219533,,
2019-12-03,,,420.5874,,,,,297.499086,,
2019-12-04,,,422.8784,,,,,298.490371,,
2019-12-05,,,422.6718,,,,,297.958944,,
2019-12-06,,,425.445,,,,,300.614774,,
2019-12-09,,,424.099,,,,,300.01663,,
