date,nav_theo_usd_bt,nav_theo_usd_live,nav_ucits_eur_bt,nav_ucits_eur_live,bench_6040_usd,bench_allw_usd,bench_rpar_usd,bench_6040_eur,bench_allw_eur,bench_rpar_eur
2018-11-09,285.7771,,306.503818,,238.384013,,,256.702386,,
2018-11-12,283.9843,,307.7659,,235.870281,,,256.65144,,
2018-11-13,283.1498,,304.928817,,235.641672,,,254.787795,,
2018-11-14,283.1468,,304.445542,,234.683107,,,253.351865,,
2018-11-15,284.4468,,305.349115,,236.266774,,,254.649354,,
2018-11-16,285.917,,304.478062,,236.78226,,,253.168404,,
2018-11-19,284.7718,,302.299929,,234.383899,,,249.811918,,
2018-11-20,282.4303,,302.000422,,231.736033,,,248.790702,,
2018-11-21,283.1282,,302.363717,,232.276318,,,249.055304,,
2018-11-23,281.7821,,302.203074,,231.319868,,,249.08222,,
2018-11-26,283.1081,,303.83692,,233.538338,,,251.646416,,
2018-11-27,282.9649,,304.780993,,234.03193,,,253.089856,,
2018-11-28,285.1303,,304.984081,,237.44691,,,255.002617,,
2018-11-29,285.6328,,304.813556,,237.183244,,,254.129171,,
2018-11-30,286.3782,,307.609862,,238.024812,,,256.700577,,
2018-12-03,289.1945,,309.707314,,240.077635,,,258.141274,,
2018-12-04,287.6279,,308.295743,,235.662457,,,253.612837,,
2018-12-06,287.3387,,307.065278,,235.680889,,,252.874635,,
2018-12-07,286.0387,,305.225279,,232.522396,,,249.117827,,
2018-12-10,285.9433,,306.141902,,232.850549,,,250.302064,,
2018-12-11,285.8858,,307.118946,,232.908355,,,251.213749,,
2018-12-12,286.1235,,305.979135,,233.543914,,,250.755896,,
2018-12-13,285.8296,,305.985139,,233.518628,,,250.991479,,
2018-12-14,283.7218,,305.158257,,230.963739,,,249.413832,,
2018-12-17,282.6879,,302.867259,,228.395599,,,245.684157,,
2018-12-18,282.772,,302.608007,,228.510638,,,245.524451,,
2018-12-19,281.9988,,301.369376,,226.54239,,,243.077998,,
2018-12-20,280.7764,,298.238296,,224.242874,,,239.14746,,
2018-12-21,278.5746,,297.874934,,221.446399,,,237.741709,,
2018-12-24,276.6375,,295.022567,,217.998425,,,233.422038,,
2018-12-26,281.266,,301.219092,,224.440608,,,241.329831,,
2018-12-27,282.681,,300.705364,,225.622725,,,240.974845,,
