Date,NAV,BENCH
2020-09-08,5379.1381,3331.84
2020-09-09,5520.718,3398.96
2020-09-10,5467.0979,3339.19
2020-09-11,5473.0586,3340.97
2020-09-14,5518.6122,3383.54
2020-09-15,5587.0221,3401.2
2020-09-16,5592.3171,3385.49
2020-09-17,5538.8554,3357.01
2020-09-18,5539.2533,3319.47
2020-09-21,5428.128,3281.06
2020-09-22,5489.3446,3315.57
2020-09-23,5489.557,3236.92
2020-09-24,5481.2333,3246.59
2020-09-25,5525.9475,3298.46
2020-09-28,5620.3868,3351.6
2020-09-29,5649.5933,3335.47
2020-09-30,5622.0419,3363.0
2020-10-01,5731.5829,3380.8
2020-10-02,5680.3863,3348.42
2020-10-05,5765.6745,3408.6
2020-10-06,5722.6198,3360.97
2020-10-07,5767.2107,3419.44
2020-10-08,5816.0747,3446.83
2020-10-09,5916.8453,3477.14
2020-10-12,6034.2071,3534.22
2020-10-13,6092.9449,3511.93
2020-10-14,6095.3921,3488.67
2020-10-15,5989.85,3483.34
2020-10-16,6023.2819,3483.81
2020-10-19,5961.2829,3426.92
2020-10-20,5913.189,3443.12
2020-10-21,5894.2465,3435.56
2020-10-22,5851.1613,3453.49
2020-10-23,5870.2909,3465.39
2020-10-26,5702.2049,3400.97
2020-10-27,5707.7614,3390.68
2020-10-28,5480.6524,3271.03
2020-10-29,5582.6482,3310.11
2020-10-30,5569.8916,3269.96
2020-11-02,5625.8719,3310.24
2020-11-03,5709.7719,3369.16
2020-11-04,5944.612,3443.44
2020-11-05,6082.4549,3510.45
2020-11-06,6100.0197,3509.44
2020-11-09,6182.6319,3550.5
2020-11-10,5961.0075,3545.53
2020-11-11,6097.1156,3572.66
2020-11-12,6072.4405,3537.01
2020-11-13,6117.1411,3585.15
2020-11-16,6199.3768,3626.91
2020-11-17,6201.5133,3609.53
2020-11-18,6183.3848,3567.79
2020-11-19,6168.8897,3581.87
2020-11-20,6234.1908,3557.54
2020-11-23,6263.5393,3577.59
2020-11-24,6343.44,3635.41
2020-11-25,6343.6905,3629.65
2020-11-26,6347.666,3629.65
2020-11-27,6383.109,3638.35
2020-11-30,6335.6186,3621.63
2020-12-01,6464.7043,3662.45
2020-12-02,6394.2516,3669.01
2020-12-03,6462.7215,3666.72
2020-12-04,6564.3766,3699.12
2020-12-07,6585.7262,3691.96
2020-12-08,6596.7212,3702.25
2020-12-09,6456.2357,3672.82
2020-12-10,6425.8572,3668.1
2020-12-11,6346.0485,3663.46
2020-12-14,6419.16,3647.49
2020-12-15,6536.1266,3694.62
2020-12-16,6561.9813,3701.17
2020-12-17,6566.3858,3722.48
2020-12-18,6604.329,3709.41
2020-12-21,6545.1327,3694.92
2020-12-22,6618.0889,3687.26
2020-12-23,6601.0638,3690.01
2020-12-24,6645.1971,3703.06
2020-12-28,6675.9125,3735.36
2020-12-29,6627.7809,3727.04
2020-12-30,6647.4562,3732.04
2020-12-31,6691.6056,3756.07
2021-01-04,6688.1772,3700.65
2021-01-05,6706.9318,3726.86
2021-01-06,6711.0368,3748.14
2021-01-07,6918.0034,3803.79
2021-01-08,6993.9801,3824.68
2021-01-11,6982.8811,3799.61
2021-01-12,7002.543,3801.19
2021-01-13,7012.9783,3809.84
2021-01-14,7094.5875,3795.54
2021-01-15,7012.9747,3768.25
2021-01-18,7019.8898,3768.25
2021-01-19,7061.5894,3798.91
2021-01-20,7130.0798,3851.85
2021-01-21,7168.4583,3853.07
2021-01-22,7132.2777,3841.47
2021-01-25,7100.624,3855.36
2021-01-26,7063.9098,3849.62
2021-01-27,6841.3031,3750.77
2021-01-28,6893.8806,3787.38
2021-01-29,6747.5731,3714.24
2021-02-01,6928.3913,3773.86
2021-02-02,7042.2802,3826.31
2021-02-03,7006.6746,3830.17
2021-02-04,7129.4759,3871.74
2021-02-05,7080.7489,3886.83
2021-02-08,7225.6307,3915.59
2021-02-09,7182.1547,3911.23
2021-02-10,7162.3905,3909.88
2021-02-11,7306.1748,3916.38
2021-02-12,7426.544,3934.83
2021-02-15,7475.4067,3934.83
2021-02-16,7524.1754,3932.59
2021-02-17,7444.0965,3931.33
2021-02-18,7356.2784,3913.97
2021-02-19,7531.8065,3906.71
2021-02-22,7371.843,3876.5
2021-02-23,7284.1408,3881.37
2021-02-24,7378.7261,3925.43
2021-02-25,7195.065,3829.34
2021-02-26,7219.157,3811.15
2021-03-01,7449.8515,3901.82
2021-03-02,7318.3249,3870.29
2021-03-03,7229.5464,3819.72
2021-03-04,6979.5095,3768.47
2021-03-05,7034.2167,3841.94
2021-03-08,6998.7657,3821.35
2021-03-09,7173.7537,3875.44
2021-03-10,7091.167,3898.81
